Word count,Word count limit ratio,Sentence count,Long sentences,Voice,Tense,Spell errors,Grammatical Errors,SS Essay,SS Topic Essay,Vocabulary,Score,Essay ID,Essay Set
90,0.8200000000000001,3,1.0,0.9230769230769231,0.7083333333333334,0.022222222222222223,0.2222222222222222,0.8065406306961366,0.3756900501874729,0.052,15,17834,7
94,0.812,3,1.0,1.0,0.42105263157894735,0.09574468085106383,0.05319148936170213,0.5642344621470734,0.41529336750682544,0.066,13,17836,7
154,0.692,1,1.0,0.9545454545454546,0.4358974358974359,0.03896103896103896,0.08441558441558442,0.0,0.0,0.11,15,17837,7
217,0.5660000000000001,13,0.38461538461538464,0.9696969696969697,0.4107142857142857,0.009216589861751152,0.027649769585253458,1.1221955949799387,0.9164319680223278,0.15,17,17838,7
151,0.698,12,0.16666666666666666,0.9545454545454546,0.5294117647058824,0.013245033112582781,0.013245033112582781,1.1293778430999337,1.1166831858499169,0.076,13,17839,7
336,0.32799999999999996,33,0.12121212121212122,1.0,0.5465116279069767,0.011904761904761904,0.01488095238095238,1.1762392535206265,0.9061925172658811,0.216,23,17840,7
170,0.6599999999999999,11,0.36363636363636365,1.0,0.5641025641025641,0.023529411764705882,0.011764705882352941,0.9603811958623923,0.8288716419194682,0.094,16,17841,7
126,0.748,7,0.5714285714285714,0.9523809523809523,0.39285714285714285,0.05555555555555555,0.0,0.6355286173702882,0.6893491514077735,0.086,18,17842,7
358,0.28400000000000003,6,1.0,1.0,0.42857142857142855,0.0223463687150838,0.10893854748603352,1.1787587453321584,0.9231698089095433,0.174,12,17843,7
88,0.8240000000000001,9,0.0,1.0,0.7727272727272727,0.011363636363636364,0.011363636363636364,1.2193549964126271,1.064348292614472,0.054,10,17844,7
176,0.648,9,0.3333333333333333,1.0,0.41509433962264153,0.028409090909090908,0.005681818181818182,1.0833680762266815,0.7536452936234442,0.094,16,17845,7
116,0.768,9,0.1111111111111111,0.875,0.4074074074074074,0.06896551724137931,0.034482758620689655,0.6336295752888139,0.7603166529557367,0.114,19,17846,7
187,0.626,11,0.6363636363636364,1.0,0.5405405405405406,0.058823529411764705,0.0213903743315508,0.9714102880519586,0.7870595276186948,0.118,17,17847,7
165,0.6699999999999999,10,0.4,0.9545454545454546,0.6388888888888888,0.030303030303030304,0.0,1.0081242064995373,0.8699044310841083,0.108,14,17849,7
165,0.6699999999999999,4,1.0,1.0,0.45714285714285713,0.03636363636363636,0.01818181818181818,1.0435941920904328,0.8471296296296297,0.114,12,17850,7
167,0.6659999999999999,13,0.3076923076923077,1.0,0.5833333333333334,0.0718562874251497,0.023952095808383235,0.7308142985242833,0.8399547178601372,0.11,16,17851,7
226,0.548,17,0.29411764705882354,1.0,0.34615384615384615,0.05309734513274336,0.022123893805309734,1.1643311903378695,0.937920502754794,0.154,17,17852,7
92,0.8160000000000001,8,0.375,0.9166666666666666,0.5,0.14130434782608695,0.021739130434782608,0.5327562330805936,0.5090079365079365,0.09,16,17853,7
182,0.636,12,0.4166666666666667,0.96875,0.6595744680851063,0.016483516483516484,0.01098901098901099,1.0427444472304994,0.6711974942056272,0.128,21,17854,7
139,0.722,12,0.16666666666666666,1.0,0.5588235294117647,0.03597122302158273,0.007194244604316547,1.4035750992711984,1.058840329784757,0.082,14,17856,7
153,0.694,9,0.5555555555555556,1.0,0.6,0.0196078431372549,0.013071895424836602,1.1874187716840916,0.9567857325244918,0.088,18,17857,7
196,0.608,16,0.25,0.9333333333333333,0.5,0.01020408163265306,0.02040816326530612,1.2250312624618174,1.0269350325600326,0.112,24,17858,7
185,0.63,11,0.5454545454545454,0.9583333333333334,0.5428571428571428,0.02702702702702703,0.02702702702702703,0.9742087609027231,0.8534013744935024,0.128,17,17859,7
188,0.624,13,0.23076923076923078,1.0,0.6,0.03723404255319149,0.02127659574468085,1.1315563631453691,0.9325308415532795,0.116,16,17860,7
140,0.72,5,0.6,0.88,0.5348837209302325,0.02142857142857143,0.007142857142857143,1.0893383254878921,0.7342991499470886,0.084,16,17861,7
103,0.794,9,0.3333333333333333,1.0,0.7692307692307693,0.0970873786407767,0.019417475728155338,1.0735548317836179,0.8263411775695466,0.056,9,17862,7
51,0.898,4,0.5,1.0,0.6666666666666666,0.0392156862745098,0.11764705882352941,0.4571759259259259,0.5115262515262515,0.048,6,17863,7
105,0.79,4,0.5,1.0,0.6190476190476191,0.05714285714285714,0.02857142857142857,0.9711692782526117,0.7364585877085876,0.068,10,17864,7
269,0.46199999999999997,15,0.4,0.972972972972973,0.390625,0.02973977695167286,0.048327137546468404,1.295081139004984,1.036572871466163,0.182,17,17865,7
174,0.652,12,0.3333333333333333,0.9615384615384616,0.4523809523809524,0.022988505747126436,0.0,0.9350718310774864,1.0502003567446365,0.094,16,17867,7
331,0.33799999999999997,18,0.5555555555555556,0.875,0.5316455696202531,0.03323262839879154,0.021148036253776436,1.4880327963667297,1.2238635828218196,0.182,15,17868,7
112,0.776,10,0.3,1.0,0.6666666666666666,0.026785714285714284,0.03571428571428571,1.3188858931498004,1.1756749788598568,0.086,11,17869,7
128,0.744,2,0.5,1.0,0.4857142857142857,0.046875,0.03125,0.4775510204081633,0.39176587301587307,0.106,19,17870,7
